"indicator_id","indicator_name"
"BN.CAB.XOKA.GD.ZS","Current account balance (% of GDP)"
"BN.CAB.XOKA.GDP.ZS","Current account balance (% of GDP)"
"BN.CAB.XOKA.GN.ZS","Current account balance (% of GNP)"
"BN.CAB.XOTR.ZS","Curr. acc. bal. before official transf. (% of GDP)"
"BN.CUR.ACTN.CD","Current Account Balance (IMF def)(US$, BoP)"
"BN.CUR.GDPM.ZS","Current account balance excluding net official capital grants (% of GDP)"
"BN.GSR.FCTY.CD.ZS","Net income (% of GDP)"
"BN.KLT.DINV.CD.ZS","Foreign direct investment (% of GDP)"
"BN.KLT.DINV.DRS.GDP.ZS","Foreign direct investment, net inflows (% of GDP)"
"BN.KLT.PRVT.GD.ZS","Private capital flows, total (% of GDP)"
"BN.RES.4040.CD","Reserves and related items (BoP, US$)"
"BN.RES.INCL.CD","Reserves and related items (BoP, current US$)"
"BN.RES.LFAR.CD","Change in Reserves (- = increase) (US$, BoP)"
"BN.TRF.CURR.CD.ZS","Net current transfers (% of GDP)"
"BX.FOD.AGRI.CD","Food exports excluding fish (FAO, current US$)"
"BX.GSR.MRCH.ZS","Merchandise exports (BOP): percentage of GDP (%)"
"BX.KLT.DINV.DT.GD.ZS","Foreign direct investment, net inflows (% of GDP)"
"BX.KLT.DINV.WD.GD.ZS","Foreign direct investment, net inflows (% of GDP)"
"BX.TRF.MGR.DT.GD.ZS","Migrant remittance inflows (% of GDP)"
"BX.TRF.PWKR.DT.GD.ZS","Personal remittances, received (% of GDP)"
"BX.TRF.PWKR.GD.ZS","Workers' remittances, receipts (% of GDP)"
"C1.12","Gross domestic product (in USD)"
"C1.8","Gross national income per capita"
"C1.9","Percentage(%) of Gross Domestic Product as Public Procurement Expenditure"
"C4.1","Common spend taxonomy used"
"CC.AVPB.PTPI.FP","Additional people below $1.90 as % of total population by impact - Food prices"
"CC.CHIC.CFPI.FP","Change in income (%) for bottom 40% of the population by impact - Food prices (update)"
"CC.DEN.AGS","Emission Totals - Direct emissions (N2O) - Agricultural Soils"
"CC.DEN.SAS","Emission Totals - Direct emissions (N2O) - Manure applied to Soils"
"CC.EAR.AGS","Emission Totals - Emissions (CO2eq) (AR5) - Agricultural Soils"
"CC.EAR.DOC","Emission Totals - Emissions (CO2eq) (AR5) - Drained organic soils (CO2)"
"CC.EAR.DON","Emission Totals - Emissions (CO2eq) (AR5) - Drained organic soils (N2O)"
"CC.EAR.DOS","Emission Totals - Emissions (CO2eq) (AR5) - Drained organic soils"
"CC.EAR.FOS","Emission Totals - Emissions (CO2eq) (AR5) - Fires in organic soils"
"CC.EAR.SAS","Emission Totals - Emissions (CO2eq) (AR5) - Manure applied to Soils"
"CC.ECA.FOS","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Fires in organic soils"
